Extraversion; Openness; Conscientiousness; Agreeableness; Neuroticism; Traverse Time; #waypoints
0,3;0,101;0,368;0,132;0,396;81,14;4
0,3;0,101;0,368;0,132;0,396;53,40;4
0,3;0,101;0,368;0,132;0,396;93,54;4
0,3;0,101;0,368;0,132;0,396;114,42;4
0,3;0,101;0,368;0,132;0,396;105,12;4
0,3;0,101;0,368;0,132;0,396;130,47;4
0,3;0,101;0,368;0,132;0,396;121,83;4
0,3;0,101;0,368;0,132;0,396;109,71;4
0,3;0,101;0,368;0,132;0,396;85,06;4
0,3;0,101;0,368;0,132;0,396;157,50;4
0,3;0,101;0,368;0,132;0,396;100,66;4
0,3;0,101;0,368;0,132;0,396;149,94;4
0,3;0,101;0,368;0,132;0,396;52,71;4
0,3;0,101;0,368;0,132;0,396;162,99;4
0,3;0,101;0,368;0,132;0,396;150,23;4
0,3;0,101;0,368;0,132;0,396;133,37;4
0,3;0,101;0,368;0,132;0,396;150,17;4
0,3;0,101;0,368;0,132;0,396;81,65;4
0,3;0,101;0,368;0,132;0,396;86,82;4
0,3;0,101;0,368;0,132;0,396;80,19;4
0,3;0,101;0,368;0,132;0,396;86,17;4
0,3;0,101;0,368;0,132;0,396;125,67;4
0,3;0,101;0,368;0,132;0,396;151,53;4
0,3;0,101;0,368;0,132;0,396;163,57;4
0,3;0,101;0,368;0,132;0,396;163,29;4
0,3;0,101;0,368;0,132;0,396;189,65;4
0,3;0,101;0,368;0,132;0,396;176,86;4
0,3;0,101;0,368;0,132;0,396;148,22;4
0,3;0,101;0,368;0,132;0,396;107,37;4
0,3;0,101;0,368;0,132;0,396;139,81;4
0,3;0,101;0,368;0,132;0,396;143,68;4
